,State,Action,Reward,Reward_Terms,Next_State
11,"[0.08286474222194927, 0.3424450983895056, 0.009398018796037593, 0.0, 0.6852813245404799, 0.0, 1.0, 1.0, 0.0]",141,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 4700000.0, -0.1057628454003337, -1.0, 1496736.5010544993, 5186551.90524477, 6631443.416368009)","[0.8524618536685078, 0.01344804331753468, 0.10399820799641599, 0.125, 0.675459520134699, 1.0, 0.0, 1.0, 0.0]"
12,"[0.8524618536685078, 0.01344804331753468, 0.10399820799641599, 0.125, 0.675459520134699, 1.0, 0.0, 1.0, 0.0]",23,0.31192806593536354,"(674622.160635952, 2194227.8587135216, 52000000.0, -0.1057628454003337, -1.0, 15627471.5181365, 5186551.90524477, 6631443.416368009)","[0.852788629498859, 0.07197479520804732, 0.00019800039600079201, 0.25, 0.7245685421636031, 1.0, 0.0, 0.0, 1.0]"
13,"[0.852788629498859, 0.07197479520804732, 0.00019800039600079201, 0.25, 0.7245685421636031, 1.0, 0.0, 0.0, 1.0]",45,0.11660758815961628,"(674622.160635952, 2194227.8587135216, 100000.0, -0.1057628454003337, 1.0, 15633471.5181365, 5186551.90524477, 6631443.416368009)","[0.852788629498859, 0.048833341270695704, 0.00019800039600079201, 0.25, 0.7128759178710068, 1.0, 0.0, 0.0, 1.0]"
14,"[0.852788629498859, 0.048833341270695704, 0.00019800039600079201, 0.25, 0.7128759178710068, 1.0, 0.0, 0.0, 1.0]",47,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 100000.0, -0.1057628454003337, 1.0, 15633471.5181365, 5186551.90524477, 6631443.416368009)","[0.8309491115037223, 0.048833341270695704, 0.001998003996007992, 0.25, 0.7119405079275992, 1.0, 0.0, 0.0, 1.0]"
15,"[0.8309491115037223, 0.048833341270695704, 0.001998003996007992, 0.25, 0.7119405079275992, 1.0, 0.0, 0.0, 1.0]",52,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 1000000.0, -0.1057628454003337, 1.0, 15232471.5181365, 5186551.90524477, 6631443.416368009)","[0.06973060159661255, 0.2656882936374688, 0.155998311996624, 0.125, 0.6913614891726299, 0.0, 1.0, 0.0, 1.0]"
16,"[0.06973060159661255, 0.2656882936374688, 0.155998311996624, 0.125, 0.6913614891726299, 0.0, 1.0, 0.0, 1.0]",38,0.7865142765482703,"(674622.160635952, 2194227.8587135216, 78000000.0, -0.1057628454003337, 1.0, 1255577.7725544996, 5186551.90524477, 6631443.416368009)","[0.06973064217127817, 0.36339319170734347, 0.029998059996119993, 0.125, 0.7390673962864225, 0.0, 1.0, 0.0, 1.0]"
17,"[0.06973064217127817, 0.36339319170734347, 0.029998059996119993, 0.125, 0.7390673962864225, 0.0, 1.0, 0.0, 1.0]",116,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 15000000.0, -0.1057628454003337, 1.0, 1255578.5175544997, 5186551.90524477, 6631443.416368009)","[0.06974916020956791, 0.2656882936374688, 0.000998001996003992, 0.125, 0.6955708339179645, 0.0, 1.0, 1.0, 0.0]"
18,"[0.06974916020956791, 0.2656882936374688, 0.000998001996003992, 0.125, 0.6955708339179645, 0.0, 1.0, 1.0, 0.0]",136,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 500000.0, -0.1057628454003337, -1.0, 1255918.5311644997, 5186551.90524477, 6631443.416368009)","[0.06974923945270677, 0.09394515737717775, 0.002038004076008152, 0.25, 0.70960198306908, 0.0, 1.0, 0.0, 1.0]"
19,"[0.06974923945270677, 0.09394515737717775, 0.002038004076008152, 0.25, 0.70960198306908, 0.0, 1.0, 0.0, 1.0]",101,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 1020000.0, -0.1057628454003337, 1.0, 1255919.9861644995, 5186551.90524477, 6631443.416368009)","[0.06974923945270677, 0.09394515737717775, 2.8000056000112e-05, 0.25, 0.7170852626163414, 0.0, 1.0, 0.0, 1.0]"
20,"[0.06974923945270677, 0.09394515737717775, 2.8000056000112e-05, 0.25, 0.7170852626163414, 0.0, 1.0, 0.0, 1.0]",106,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 15000.0, -0.1057628454003337, 1.0, 1255919.9861644995, 5186551.90524477, 6631443.416368009)","[0.8281703165684917, 0.04829715551075958, 9.8000196000392e-05, 0.25, 0.71568214770123, 1.0, 0.0, 0.0, 1.0]"
