,State,State_index,Action,Reward,Next_State
4058,"[3, 2, 1, 2, 1, 1]",923,14,0.25715076500769896,482
4059,"[1, 3, 2, 0, 1, 0]",482,26,0.30235095412266366,983
4060,"[3, 3, 1, 1, 1, 1]",983,21,0.26946419480480127,843
4061,"[3, 1, 0, 2, 1, 1]",843,17,0.2594366392787157,901
4062,"[3, 2, 0, 1, 0, 1]",901,15,0.10042458652436682,374
4063,"[1, 1, 3, 1, 1, 0]",374,3,0.3653717987023224,841
4064,"[3, 1, 0, 2, 0, 1]",841,36,0.21863794921820032,983
4065,"[3, 3, 1, 1, 1, 1]",983,15,0.25715076500769896,446
4066,"[1, 2, 3, 3, 1, 0]",446,40,0.14845909089120218,306
4067,"[1, 0, 3, 0, 1, 0]",306,15,0.566810639777767,438
4068,"[1, 2, 3, 1, 1, 0]",438,26,0.5564251040498815,903
4069,"[3, 2, 0, 1, 1, 1]",903,5,0.17954350773412714,913
4070,"[3, 2, 1, 0, 0, 1]",913,18,0.25715076500769896,482
4071,"[1, 3, 2, 0, 1, 0]",482,15,0.20301212957420298,973
4072,"[3, 3, 0, 3, 0, 1]",973,5,0.11576930284727391,845
4073,"[3, 1, 0, 3, 0, 1]",845,21,0.25715076500769896,1001
4074,"[3, 3, 2, 2, 0, 1]",1001,36,0.25715076500769896,925
4075,"[3, 2, 1, 3, 0, 1]",925,14,0.16315080897224177,360
4076,"[1, 1, 2, 2, 0, 0]",360,24,0.42623017710853883,847
4077,"[3, 1, 0, 3, 1, 1]",847,1,0.08559103160295244,797
4078,"[3, 0, 1, 3, 0, 1]",797,50,0.38133306544477974,354
4079,"[1, 1, 2, 0, 1, 0]",354,15,0.3648968965615988,370
4080,"[1, 1, 3, 0, 1, 0]",370,31,0.33037028695091386,382
4081,"[1, 1, 3, 3, 1, 0]",382,9,0.41755317585804697,374
4082,"[1, 1, 3, 1, 1, 0]",374,15,0.392217208758458,979
4083,"[3, 3, 1, 0, 1, 1]",979,26,0.10422553680219118,923
4084,"[3, 2, 1, 2, 1, 1]",923,20,0.25715076500769896,402
4085,"[1, 2, 1, 0, 1, 0]",402,36,0.48693824650888556,977
4086,"[3, 3, 1, 0, 0, 1]",977,21,0.24491317062536988,380
4087,"[1, 1, 3, 3, 0, 0]",380,47,0.6305312588625441,923
4088,"[3, 2, 1, 2, 1, 1]",923,24,0.20320583258128655,498
4089,"[1, 3, 3, 0, 1, 0]",498,30,0.006299091848669073,346
4090,"[1, 1, 1, 2, 1, 0]",346,3,0.3721125766259296,927
4091,"[3, 2, 1, 3, 1, 1]",927,11,0.19750212080064458,482
4092,"[1, 3, 2, 0, 1, 0]",482,14,0.22174300377806935,991
4093,"[3, 3, 1, 3, 1, 1]",991,32,0.25715076500769896,927
4094,"[3, 2, 1, 3, 1, 1]",927,10,0.25715076500769896,1007
4095,"[3, 3, 2, 3, 1, 1]",1007,35,0.25416546501999077,991
4096,"[3, 3, 1, 3, 1, 1]",991,30,0.25715076500769896,482
4097,"[1, 3, 2, 0, 1, 0]",482,30,0.33577781092854625,502
4098,"[1, 3, 3, 1, 1, 0]",502,16,1.0,1007
4099,"[3, 3, 2, 3, 1, 1]",1007,29,0.25715076500769896,314
4100,"[1, 0, 3, 2, 1, 0]",314,31,0.29449645685593046,434
4101,"[1, 2, 3, 0, 1, 0]",434,27,0.21440474267473347,510
4102,"[1, 3, 3, 3, 1, 0]",510,28,0.49339651988612615,909
4103,"[3, 2, 0, 3, 0, 1]",909,20,0.25715076500769896,434
4104,"[1, 2, 3, 0, 1, 0]",434,42,0.36014015524363785,500
4105,"[1, 3, 3, 1, 0, 0]",500,16,0.38110701745546205,987
4106,"[3, 3, 1, 2, 1, 1]",987,30,0.272727521966756,923
4107,"[3, 2, 1, 2, 1, 1]",923,26,0.25715076500769896,374
4108,"[1, 1, 3, 1, 1, 0]",374,17,0.5337597556084177,983
4109,"[3, 3, 1, 1, 1, 1]",983,21,0.257706735674404,374
4110,"[1, 1, 3, 1, 1, 0]",374,32,0.5069703580846737,498
4111,"[1, 3, 3, 0, 1, 0]",498,89,0.26574070807633593,913
4112,"[3, 2, 1, 0, 0, 1]",913,24,0.25715076500769896,504
4113,"[1, 3, 3, 2, 0, 0]",504,151,0.3721125766259296,979
4114,"[3, 3, 1, 0, 1, 1]",979,47,0.2804739605881863,923
4115,"[3, 2, 1, 2, 1, 1]",923,26,0.25715076500769896,923
4116,"[3, 2, 1, 2, 1, 1]",923,14,0.25715076500769896,991
4117,"[3, 3, 1, 3, 1, 1]",991,5,0.11576930284727391,779
4118,"[3, 0, 0, 2, 1, 1]",779,45,0.25715076500769896,370
4119,"[1, 1, 3, 0, 1, 0]",370,12,0.34012518632015637,979
4120,"[3, 3, 1, 0, 1, 1]",979,21,0.25817004456332443,354
4121,"[1, 1, 2, 0, 1, 0]",354,16,0.476739937558957,979
4122,"[3, 3, 1, 0, 1, 1]",979,26,0.3172635212489559,919
4123,"[3, 2, 1, 1, 1, 1]",919,21,0.25715076500769896,983
4124,"[3, 3, 1, 1, 1, 1]",983,27,0.268146122861154,979
4125,"[3, 3, 1, 0, 1, 1]",979,23,0.43238927043573205,987
4126,"[3, 3, 1, 2, 1, 1]",987,11,0.1273248960042387,504
4127,"[1, 3, 3, 2, 0, 0]",504,28,0.3676202714161316,915
4128,"[3, 2, 1, 0, 1, 1]",915,30,1.0,915
4129,"[3, 2, 1, 0, 1, 1]",915,48,0.2661664775456723,795
4130,"[3, 0, 1, 2, 1, 1]",795,9,0.25715076500769896,923
4131,"[3, 2, 1, 2, 1, 1]",923,5,0.25715076500769896,418
4132,"[1, 2, 2, 0, 1, 0]",418,27,0.3461003142623473,406
4133,"[1, 2, 1, 1, 1, 0]",406,36,0.4416176445877813,418
4134,"[1, 2, 2, 0, 1, 0]",418,15,0.40582211945277774,913
4135,"[3, 2, 1, 0, 0, 1]",913,15,0.11606898984643617,418
4136,"[1, 2, 2, 0, 1, 0]",418,15,0.36142418499789947,498
4137,"[1, 3, 3, 0, 1, 0]",498,27,0.22129330781757006,919
4138,"[3, 2, 1, 1, 1, 1]",919,5,0.25715076500769896,833
4139,"[3, 1, 0, 0, 0, 1]",833,24,0.25913285380434425,306
4140,"[1, 0, 3, 0, 1, 0]",306,30,0.0,787
4141,"[3, 0, 1, 0, 1, 1]",787,47,0.21421308197819486,807
4142,"[3, 0, 2, 1, 1, 1]",807,36,0.25715076500769896,855
4143,"[3, 1, 1, 1, 1, 1]",855,17,0.25715076500769896,919
4144,"[3, 2, 1, 1, 1, 1]",919,14,0.24176947428306872,919
4145,"[3, 2, 1, 1, 1, 1]",919,21,0.25715076500769896,843
4146,"[3, 1, 0, 2, 1, 1]",843,15,0.25715076500769896,318
4147,"[1, 0, 3, 3, 1, 0]",318,1,0.0,919
4148,"[3, 2, 1, 1, 1, 1]",919,15,0.25715076500769896,290
4149,"[1, 0, 2, 0, 1, 0]",290,46,0.1431552568907357,797
4150,"[3, 0, 1, 3, 0, 1]",797,12,0.24426946009885384,310
4151,"[1, 0, 3, 1, 1, 0]",310,8,0.0,973
4152,"[3, 3, 0, 3, 0, 1]",973,23,0.25715076500769896,318
4153,"[1, 0, 3, 3, 1, 0]",318,1,0.0,318
4154,"[1, 0, 3, 3, 1, 0]",318,1,0.3920441510671936,290
4155,"[1, 0, 2, 0, 1, 0]",290,15,0.0841916755765981,290
4156,"[1, 0, 2, 0, 1, 0]",290,78,0.0,769
4157,"[3, 0, 0, 0, 0, 1]",769,18,0.2576115558866955,769
4158,"[3, 0, 0, 0, 0, 1]",769,18,0.25715076500769896,290
4159,"[1, 0, 2, 0, 1, 0]",290,15,0.3576812164972168,290
4160,"[1, 0, 2, 0, 1, 0]",290,12,0.37572041665812067,482
4161,"[1, 3, 2, 0, 1, 0]",482,29,0.0,314
4162,"[1, 0, 3, 2, 1, 0]",314,6,0.3721125766259296,312
4163,"[1, 0, 3, 2, 0, 0]",312,96,0.3721196168937065,290
4164,"[1, 0, 2, 0, 1, 0]",290,17,0.40458313691549513,482
4165,"[1, 3, 2, 0, 1, 0]",482,30,0.3872068375731339,294
4166,"[1, 0, 2, 1, 1, 0]",294,15,0.06339563831016184,595
4167,"[2, 1, 1, 0, 1, 1]",595,30,0.2732083621910196,611
4168,"[2, 1, 2, 0, 1, 1]",611,26,0.1351738627056789,859
4169,"[3, 1, 1, 2, 1, 1]",859,5,0.27075695485163803,863
4170,"[3, 1, 1, 3, 1, 1]",863,54,0.27075698586209923,833
4171,"[3, 1, 0, 0, 0, 1]",833,38,0.27133414249165205,667
4172,"[2, 2, 1, 2, 1, 1]",667,21,0.24828688005484936,597
4173,"[2, 1, 1, 1, 0, 1]",597,15,0.2771500723680217,416
4174,"[1, 2, 2, 0, 0, 0]",416,9,0.4469530465206501,304
4175,"[1, 0, 3, 0, 0, 0]",304,45,0.4652069583856038,426
4176,"[1, 2, 2, 2, 1, 0]",426,14,0.3283612235701782,607
4177,"[2, 1, 1, 3, 1, 1]",607,5,0.2777700964869542,306
4178,"[1, 0, 3, 0, 1, 0]",306,19,0.411955285852397,372
4179,"[1, 1, 3, 1, 0, 0]",372,44,0.4207147175874998,434
4180,"[1, 2, 3, 0, 1, 0]",434,15,0.38771330548911204,498
4181,"[1, 3, 3, 0, 1, 0]",498,35,0.07595669842348013,651
4182,"[2, 2, 0, 2, 1, 1]",651,26,0.16515797748153904,440
4183,"[1, 2, 3, 2, 0, 0]",440,27,0.4366601295380208,360
4184,"[1, 1, 2, 2, 0, 0]",360,21,0.4805600916854443,352
4185,"[1, 1, 2, 0, 0, 0]",352,16,0.40762483418906265,292
4186,"[1, 0, 2, 1, 0, 0]",292,26,0.44425167691423734,533
4187,"[2, 0, 1, 1, 0, 1]",533,18,0.24335832944708158,434
4188,"[1, 2, 3, 0, 1, 0]",434,86,0.22794080577973339,370
4189,"[1, 1, 3, 0, 1, 0]",370,26,0.3721125766259296,428
4190,"[1, 2, 2, 3, 0, 0]",428,6,0.540808711162938,861
4191,"[3, 1, 1, 3, 0, 1]",861,20,0.2713098618579721,919
4192,"[3, 2, 1, 1, 1, 1]",919,26,0.27133104742395275,368
4193,"[1, 1, 3, 0, 0, 0]",368,53,0.3339336290018525,909
4194,"[3, 2, 0, 3, 0, 1]",909,1,0.2391829373541451,985
4195,"[3, 3, 1, 2, 0, 1]",985,8,0.28349014832122343,438
4196,"[1, 2, 3, 1, 1, 0]",438,17,0.0,314
4197,"[1, 0, 3, 2, 1, 0]",314,18,0.0,833
4198,"[3, 1, 0, 0, 0, 1]",833,18,0.2575998206322258,981
4199,"[3, 3, 1, 1, 0, 1]",981,41,0.25385137633068444,306
4200,"[1, 0, 3, 0, 1, 0]",306,48,0.3721125766259296,851
4201,"[3, 1, 1, 0, 1, 1]",851,30,0.25715076500769896,787
4202,"[3, 0, 1, 0, 1, 1]",787,47,0.0,787
4203,"[3, 0, 1, 0, 1, 1]",787,47,0.1712783319897618,991
4204,"[3, 3, 1, 3, 1, 1]",991,32,0.25715076500769896,769
4205,"[3, 0, 0, 0, 0, 1]",769,16,0.25118899517282,791
4206,"[3, 0, 1, 1, 1, 1]",791,26,0.3043806031675553,899
4207,"[3, 2, 0, 0, 1, 1]",899,15,0.2442106661618518,771
4208,"[3, 0, 0, 0, 1, 1]",771,47,0.255827957411117,336
4209,"[1, 1, 1, 0, 0, 0]",336,108,0.11072830103904288,290
4210,"[1, 0, 2, 0, 1, 0]",290,15,0.32157445322287376,486
4211,"[1, 3, 2, 1, 1, 0]",486,24,0.005164342347040535,781
4212,"[3, 0, 0, 3, 0, 1]",781,17,0.2744344679012714,306
4213,"[1, 0, 3, 0, 1, 0]",306,50,0.4337785741405793,835
4214,"[3, 1, 0, 0, 1, 1]",835,39,0.3216103271591175,290
4215,"[1, 0, 2, 0, 1, 0]",290,57,0.0,370
4216,"[1, 1, 3, 0, 1, 0]",370,53,0.3893252574025076,306
4217,"[1, 0, 3, 0, 1, 0]",306,54,0.34387722977856217,803
4218,"[3, 0, 2, 0, 1, 1]",803,44,0.2693016685813007,807
4219,"[3, 0, 2, 1, 1, 1]",807,36,0.1556483639938924,775
4220,"[3, 0, 0, 1, 1, 1]",775,36,0.26887301820695253,601
4221,"[2, 1, 1, 2, 0, 1]",601,14,0.6112262335799981,531
4222,"[2, 0, 1, 0, 1, 1]",531,17,0.27693574017500294,589
4223,"[2, 1, 0, 3, 0, 1]",589,20,0.2707272196938841,368
4224,"[1, 1, 3, 0, 0, 0]",368,40,0.10568957194875607,374
4225,"[1, 1, 3, 1, 1, 0]",374,44,0.5242746752644957,486
4226,"[1, 3, 2, 1, 1, 0]",486,11,0.36330457764839447,551
4227,"[2, 0, 2, 1, 1, 1]",551,26,0.2791363433579042,416
4228,"[1, 2, 2, 0, 0, 0]",416,23,0.4669401307582964,316
4229,"[1, 0, 3, 3, 0, 0]",316,95,0.5117872954235893,647
4230,"[2, 2, 0, 1, 1, 1]",647,41,0.5127649266053412,579
