,State,State_index,Action,Reward,Reward_Terms,Next_State
874,"[2, 0, 2, 0, 0]",136,125,0.7149673054988828,"(758242.7977055736, 279000.0, -0.0, 0.42203773362523656)","[2, 1, 1, 1, 0]"
875,"[2, 1, 1, 1, 0]",150,145,0.7148880774703494,"(758242.7977055736, 620000.0, 0.0, 0.42269310000396365)","[2, 1, 3, 1, 1]"
876,"[2, 1, 3, 1, 1]",159,78,1.0,"(758242.7977055736, 128070000.0, -0.0, 0.6420855271998662)","[2, 1, 2, 1, 1]"
877,"[2, 1, 2, 1, 1]",155,5,0.68871406476482,"(758242.7977055736, 510000.0, 0.0, 0.6392019320566527)","[2, 2, 2, 1, 0]"
878,"[2, 2, 2, 1, 0]",170,40,0.7144477294229872,"(758242.7977055736, 1000000.0, -0.0, 0.4263356152920751)","[2, 2, 3, 1, 0]"
879,"[2, 2, 3, 1, 0]",174,47,0.7144477294229872,"(758242.7977055736, 2000000.0, -0.0, 0.4263356152920751)","[2, 1, 2, 1, 0]"
880,"[2, 1, 2, 1, 0]",154,27,0.723982004870339,"(758242.7977055736, 2500000.0, -0.0, 0.42330226563652834)","[2, 0, 2, 1, 0]"
881,"[2, 0, 2, 1, 0]",138,56,0.7148144347055008,"(758242.7977055736, 140000.0, 0.0, 0.42330226563652834)","[2, 0, 1, 1, 0]"
882,"[2, 0, 1, 1, 0]",134,4,0.7148325167932175,"(758242.7977055736, 1380000.0, 0.0, 0.42133269489887526)","[2, 3, 3, 1, 0]"
883,"[2, 3, 3, 1, 0]",190,97,0.714870085986543,"(758242.7977055736, 1000000.0, -0.0, 0.4228419237701044)","[2, 3, 0, 1, 1]"
884,"[2, 3, 0, 1, 1]",179,2,0.6900826092190233,"(758242.7977055736, 10000000.0, 0.0, 0.6278814683308466)","[2, 2, 3, 1, 0]"
885,"[2, 2, 3, 1, 0]",174,48,0.7170268506021018,"(758242.7977055736, 5000000.0, -0.0, 0.40500138119909224)","[2, 2, 3, 1, 1]"
886,"[2, 2, 3, 1, 1]",175,21,0.7279698810204411,"(758242.7977055736, 14950000.0, 0.0, 0.6496645948796892)","[2, 2, 3, 1, 1]"
887,"[2, 2, 3, 1, 1]",175,23,0.6874492208918589,"(758242.7977055736, 3500000.0, 0.0, 0.6496645948796892)","[2, 2, 3, 1, 1]"
888,"[2, 2, 3, 1, 1]",175,20,0.6928869683962667,"(758242.7977055736, 1500000.0, 0.0, 0.6343579602643632)","[2, 2, 3, 0, 0]"
889,"[2, 2, 3, 0, 0]",172,3,0.7037788888397567,"(758242.7977055736, 4500000.0, -0.0, 0.5145872043785108)","[2, 2, 0, 1, 1]"
890,"[2, 2, 0, 1, 1]",163,142,0.6904969293527589,"(758242.7977055736, 15000000.0, 0.0, 0.6244542533577281)","[2, 3, 3, 1, 0]"
891,"[2, 3, 3, 1, 0]",190,27,0.7190536874825648,"(758242.7977055736, 4000000.0, -0.0, 0.5095687549404441)","[2, 2, 3, 1, 0]"
892,"[2, 2, 3, 1, 0]",174,92,0.843094897712927,"(758242.7977055736, 10000000.0, 0.0, 0.5095687549404441)","[2, 2, 3, 1, 1]"
893,"[2, 2, 3, 1, 1]",175,95,0.690826438137747,"(758242.7977055736, 7000000.0, 0.0, 0.6217285894333028)","[2, 1, 3, 1, 0]"
894,"[2, 1, 3, 1, 0]",158,56,0.7051822996452295,"(758242.7977055736, 1000000.0, 0.0, 0.5029783296598538)","[2, 1, 1, 1, 0]"
895,"[2, 1, 1, 1, 0]",150,14,0.7062320485060981,"(758242.7977055736, 675000.0, -0.0, 0.5023068569400071)","[2, 1, 3, 1, 0]"
896,"[2, 1, 3, 1, 0]",158,53,0.7052634747886823,"(758242.7977055736, 500000.0, 0.0, 0.5023068569400071)","[2, 1, 3, 1, 1]"
897,"[2, 1, 3, 1, 1]",159,45,0.6911661338372146,"(758242.7977055736, 15000000.0, 0.0, 0.6189186603646321)","[2, 1, 3, 1, 1]"
898,"[2, 1, 3, 1, 1]",159,109,0.6911661338372146,"(758242.7977055736, 15000000.0, 0.0, 0.6189186603646321)","[2, 0, 1, 1, 0]"
899,"[2, 0, 1, 1, 0]",134,9,0.7375552632234939,"(758242.7977055736, 35280000.0, 0.0, 0.46783555134297455)","[2, 1, 3, 1, 0]"
900,"[2, 1, 3, 1, 0]",158,101,0.7094307523178196,"(758242.7977055736, 940000.0, -0.0, 0.46783555134297455)","[2, 2, 1, 1, 1]"
901,"[2, 2, 1, 1, 1]",167,14,0.6944332986332913,"(758242.7977055736, 5000000.0, 0.0, 0.591892997846603)","[2, 2, 0, 1, 1]"
902,"[2, 2, 0, 1, 1]",163,13,0.6946814813037305,"(758242.7977055736, 20000000.0, 0.0, 0.5898400554599295)","[2, 1, 1, 1, 0]"
903,"[2, 1, 1, 1, 0]",150,63,0.8022752044182262,"(758242.7977055736, 10000000.0, 0.0, 0.4647619576075049)","[2, 2, 3, 0, 1]"
904,"[2, 2, 3, 0, 1]",173,38,0.6950407721825632,"(758242.7977055736, 14357855.67, 0.0, 0.5868680370148247)","[2, 2, 2, 1, 0]"
905,"[2, 2, 2, 1, 0]",170,51,0.7100285076605292,"(758242.7977055736, 10000000.0, 0.0, 0.46289097855013017)","[2, 2, 1, 1, 1]"
906,"[2, 2, 1, 1, 1]",167,54,0.6951116586717336,"(758242.7977055736, 4000000.0, -0.0, 0.5862816710207651)","[2, 0, 3, 1, 1]"
907,"[2, 0, 3, 1, 1]",143,24,0.6996963105172809,"(758242.7977055736, 1427013.87, 0.0, 0.5859979109461146)","[2, 2, 1, 1, 0]"
908,"[2, 2, 1, 1, 0]",166,29,0.7100285076605292,"(758242.7977055736, 4000000.0, 0.0, 0.46289097855013017)","[2, 0, 1, 1, 0]"
909,"[2, 0, 1, 1, 0]",134,35,0.7569607061310375,"(758242.7977055736, 9078000.0, -0.0, 0.445817466161097)","[2, 1, 3, 1, 1]"
910,"[2, 1, 3, 1, 1]",159,95,0.6963634983743568,"(758242.7977055736, 3270632.29, 0.0, 0.5759265774024729)","[2, 0, 3, 1, 1]"
911,"[2, 0, 3, 1, 1]",143,89,0.6893322267039705,"(758242.7977055736, 3000000.0, 0.0, 0.6340885579259591)","[2, 1, 0, 1, 1]"
912,"[2, 1, 0, 1, 1]",147,124,0.6990520484166728,"(758242.7977055736, 500000.0, 0.0, 0.6328174849314643)","[2, 0, 2, 0, 0]"
913,"[2, 0, 2, 0, 0]",136,44,0.7120925003856581,"(758242.7977055736, 30000000.0, -0.0, 0.44581783583753076)","[2, 1, 2, 1, 0]"
914,"[2, 1, 2, 1, 0]",154,105,0.7120925003856581,"(758242.7977055736, 8910000.0, 0.0, 0.44581783583753076)","[2, 1, 0, 0, 0]"
915,"[2, 1, 0, 0, 0]",144,45,0.7120925003856581,"(758242.7977055736, 150000000.0, 0.0, 0.44581783583753076)","[2, 3, 2, 1, 0]"
916,"[2, 3, 2, 1, 0]",186,72,0.7120925003856581,"(758242.7977055736, 240000000.0, 0.0, 0.44581783583753076)","[2, 1, 0, 0, 0]"
917,"[2, 1, 0, 0, 0]",144,62,0.7120925003856581,"(758242.7977055736, 185000000.0, 0.0, 0.44581783583753076)","[2, 0, 2, 0, 0]"
918,"[2, 0, 2, 0, 0]",136,3,0.7125363925042801,"(758242.7977055736, 18000000.0, 0.0, 0.44214600434415313)","[2, 1, 2, 1, 1]"
919,"[2, 1, 2, 1, 1]",155,104,0.6794340576711951,"(758242.7977055736, 6000000.0, 0.0, 0.7159652285326625)","[2, 1, 3, 1, 1]"
920,"[2, 1, 3, 1, 1]",159,104,0.6794340576711951,"(758242.7977055736, 3000000.0, 0.0, 0.7159652285326625)","[2, 0, 0, 1, 1]"
921,"[2, 0, 0, 1, 1]",131,20,1.0,"(758242.7977055736, 350000000.0, 0.0, 0.6391137544317138)","[2, 1, 3, 0, 0]"
922,"[2, 1, 3, 0, 0]",156,145,0.707855894815229,"(758242.7977055736, 187000.0, -0.0, 0.4808626161026415)","[2, 1, 0, 1, 0]"
923,"[2, 1, 0, 1, 0]",146,9,0.7085494398632224,"(758242.7977055736, 30000000.0, 0.0, 0.47512568038681086)","[2, 1, 0, 1, 0]"
924,"[2, 1, 0, 1, 0]",146,57,0.7086175605970926,"(758242.7977055736, 916073.48, 0.0, 0.47456219244574827)","[2, 0, 0, 1, 0]"
925,"[2, 0, 0, 1, 0]",130,23,0.7091963832108172,"(758242.7977055736, 110000.0, -0.0, 0.47253060233854016)","[2, 0, 3, 1, 0]"
926,"[2, 0, 3, 1, 0]",142,23,0.7120979811675312,"(758242.7977055736, 1060000.0, 0.0, 0.4709359431191607)","[2, 0, 1, 1, 1]"
927,"[2, 0, 1, 1, 1]",135,59,0.6820784544242324,"(758242.7977055736, 355000.0, 0.0, 0.6940910413789643)","[2, 0, 0, 0, 0]"
928,"[2, 0, 0, 0, 0]",128,27,0.8212663024844669,"(758242.7977055736, 30800000.0, 0.0, 0.4770083799375443)","[2, 0, 3, 1, 0]"
929,"[2, 0, 3, 1, 0]",142,43,0.9497213724727012,"(758242.7977055736, 37700000.0, -0.0, 0.41926406642316116)","[2, 0, 3, 1, 1]"
930,"[2, 0, 3, 1, 1]",143,13,0.6795660355676314,"(758242.7977055736, 15200000.0, 0.0, 0.7148735204886696)","[2, 0, 0, 0, 0]"
931,"[2, 0, 0, 0, 0]",128,45,0.7153025741184668,"(758242.7977055736, 600000.0, 0.0, 0.41926442492141985)","[2, 1, 3, 1, 1]"
932,"[2, 1, 3, 1, 1]",159,125,0.6852272585538425,"(758242.7977055736, 1373351.76, 0.0, 0.6680444465318344)","[2, 0, 3, 1, 1]"
